"Institute","Institute_standardized"
"Blue Ventures Conservat, Omnibus Business Ctr, Level 2 Annex,39-41 North Rd, London N7 9DP, England.","Blue Ventures"
"Blue Water Metrics","Blue Water Metrics"
"Bogor Agr Univ, IPB Univ, Fac Fisheries & Marine Sci, Dept Aquat Resources Management, Kampus IPB Dramaga, Bogor 16680, West Java, Indonesia.","Bogor Agricultural University"
"Environment BOKU - University of Natural Resources & Applied Life Sciences","BOKU University of Natural Resources and Life Sciences"
"Bombay Nat Hist Soc, Hornbill House,SB Singh Rd, Bombay 400001, Maharashtra, India.","Bombay Natural History Society (BNHS)"
"Bombay Nat Hist Soc, Hornbill House,SB Singh Rd, Mumbai 400001, Maharashtra, India.","Bombay Natural History Society (BNHS)"
"Bombay Natural History Society","Bombay Natural History Society (BNHS)"
"Boston Univ, Frederick S Pardee Sch Global Studies, Boston, MA 02215 USA.","Boston University"
"BGBM","Botanical Garden and Botanical Museum (BGBM)"
"BGBM, Berlin","Botanical Garden and Botanical Museum (BGBM)"
"Wolf-Henning Kusber (from Botanical Garden Botanical Museum, Berlin, Germany)","Botanical Garden and Botanical Museum (BGBM)"
"Botanical Institute of Barcelona","Botanical Institute of Barcelona"
"Bournemouth Univ, Fac Sci & Technol, Ctr Ecol Environm & Sustainabil, Talbot Campus, Poole BH12 5BB, Dorset, England.","Bournemouth University"
"Bournemouth University","Bournemouth University"
"BP","BP"
"BrachNet","BrachNet"
"BrachNet, F-13007 Marseille, France;","BrachNet"
"Brawijaya Univ, Fac Fisheries & Marine Sci, Dept Aquat Resource Management, Jl Vet, Malang 65145, East Java, Indonesia.","Brawijaya University"
"Brazilian Institute of Environment and Renewable Natural Resources (IBAMA)","Brazil government - Brazilian Institute of Environment and Renewable Natural Resources (IBAMA)"
"Minist Educ Brazil, CAPES Fdn, BR-70040020 Brasilia, DF, Brazil.","Brazil government - Ministry of education"
"Brevisco BVBA","Brevisco BVBA"
"British Antarctic Survey","British Antarctic Survey (BAS)"
"British Antarctic Survey (BAS)","British Antarctic Survey (BAS)"
"British Antarctic Survey, Cambridge CB3 0ET, England.","British Antarctic Survey (BAS)"
"British Antarctic Survey, Madingley Rd, Cambridge CB3 0ET, England.","British Antarctic Survey (BAS)"
"British Antarctic Survey, Nat Environm Res Council, Cambridge CB3 0ET, England","British Antarctic Survey (BAS)"
"British Antarctic Survey, Nat Environm Res Council, Cambridge CB3 0ET, England.","British Antarctic Survey (BAS)"
"British Geol Survey, Murchison House,W Mains Rd, Edinburgh EH9 3LA, Midlothian, Scotland.","British Geological Survey (BGS)"
"British Geological Survey (BGS)","British Geological Survey (BGS)"
"British Oceanog Data Ctr","British Oceanographic Data Centre (BODC)"
"British Oceanog Data Ctr, Liverpool, Merseyside, England.","British Oceanographic Data Centre (BODC)"
"British Oceanographic Data Centre (BODC)","British Oceanographic Data Centre (BODC)"
"Brown Univ, Dept Earth Environm & Planetary Sci, Providence, RI 02912 USA.","Brown University"
"Bundesamt für Seeschifffahrt und Hydrographie","BSH (Federal Maritime and Hydrographic Agency of Germany)"
"Bundesamt für Seeschifffahrt und Hydrographie (BSH)","BSH (Federal Maritime and Hydrographic Agency of Germany)"
"Bulgarian Acad Sci, Inst Biodivers & Ecosyst Res, 2 Gagarin St, BU-1113 Sofia, Bulgaria.","Bulgarian Academy of Sciences (BAS)"
"Institute of Oceanology, Bulgarian Academy of Sciences (IO-BAS)","Bulgarian Academy of Sciences (BAS) - Institute of Oceanology (IO)"
"Burapha Univ","Burapha University"
"Burapha Univ, Inst Marine Sci, Muang 20131, Chonburi, Thailand.","Burapha University"
"BW Vet Consulting","BW Vet Consulting"
"BW Vet Consulting, Estr RJ 102,Km 12, BR-28970000 Araruama, RJ, Brazil;","BW Vet Consulting"
"Univ Ca Foscari, DAIS, Dept Environm Sci Informat & Stat, I-30122 Venice, Italy.","Ca' Foscari University of Venice"
"Cadi Ayyad Univ, Fac Sci, Dept Biol Hydrobiol Ecotoxicol Sanitat & Climate, Prince Moulay Abdellah Blvd, Marrakech 40000, Morocco.","Cadi Ayyad University"
"Cairo Univ, Dept Zool, Fac Sci, Cairo, Egypt.","Cairo Universiy"
"Calgary Zool Soc","Calgary Zoological Society"
"Calgary Zool Soc, Ctr Conservat Res, 1300 Zoo Rd NE, Calgary, AB T2E 7V6, Canada;","Calgary Zoological Society - Conservation Research Centre"
"Calif Acad Sci, Dept Invertebrate Zool & Geol, San Francisco, CA 94118 USA.","California Academy of Sciences"
"Calif Acad Sci, San Francisco, CA 94118 USA.","California Academy of Sciences"
"California Academy of Sciences","California Academy of Sciences"
"Calif Acad Sci, Dept Entomol, 55 Mus Concourse Dr, San Francisco, CA 94118 USA.","California Academy of Sciences - Invertebrate Zoology and Geology"
"Calif Acad Sci, Dept Invertebrate Zool & Geol, 55 Mus Concourse Dr, San Francisco, CA 94118 USA.","California Academy of Sciences - Invertebrate Zoology and Geology"
"CALTECH","California Institute for Technology (CALTECH)"
"CALTECH, Howard Hughes Med Inst, Pasadena, CA 91125 USA.","California Institute for Technology (CALTECH)"
"Calif Polytech State Univ San Luis Obispo, San Luis Obispo, CA 93407 USA.","California State Polytechnic University"
"Calif State Polytech Univ Pomona, Dept Biol Sci, 3801 West Temple Ave, Pomona, CA 91768 USA.","California State Polytechnic University"
"Calif State Univ Fullerton","California State University - Fullerton"
"Calif State Univ Fullerton, Dept Biol Sci, Fullerton, CA 92831 USA;","California State University - Fullerton"
"Calif State Univ Fullerton, Dept Biol Sci, Fullerton, CA 92834 USA.","California State University - Fullerton"
"Moss Landing Marine Laboratory, California State University","California State University - Moss Landing Marine Laboratory"
"Moss Landing Marine Labs, 8272 Moss Landing Rd, Moss Landing, CA 95039 USA.","California State University - Moss Landing Marine Laboratory"
"California State University - Moss Landing Marine Laboratories","California State University - Moss Landing Marine Laboratory"
"Calif State Univ Northridge","California State University - Northridge"
"Calif State Univ Northridge, Dept Geol Sci, Northridge, CA 91330 USA;","California State University - Northridge"
"Canadian Coast Guard","Canadian Coast Guard"
"Canadian Museum of Nature","Canadian Museum of Nature"
"Canadian Pk & Wilderness Soc, Vancouver, BC, Canada.","Canadian Parks and Wilderness Society (CPAWS)"
"Cape Breton Univ","Cape Breton University"
"Cape Breton Univ, Dept Biol, Sydney, NS B1P 6L2, Canada.","Cape Breton University"
"Cape Cod Museum of Natural History, Brewster, MA","Cape Cod Museum of Natural History"
"South African Natl Pk, Cape Res Ctr, Cape Town, South Africa.","Cape Research Centre (CRC)"
"Cardiff Univ","Cardiff University"
"Cardiff Univ, Sch Comp Sci & Informat, Cardiff CF24 3AA, S Glam, Wales.","Cardiff University"
"Cardiff Univ, Sch Law & Polit, Law, Cardiff, Wales.","Cardiff University"
"Cardiff University","Cardiff University"
"Cardiff Univ, Sch Biol Sci, Cardiff CF10 3AX, S Glam, Wales.","Cardiff University - School of Biological Science"
"Cardiff Univ, Sch Comp Sci &amp; Informat, Cardiff CF24 3AA, S Glam, Wales.","Cardiff University - School of Computer Science and Informatics"
"Cardiff University - School of Computer Science and Informatics","Cardiff University - School of Computer Science and Informatics"
"Carl von Ossietzky Univ Oldenburg","Carl von Ossietzky Univ Oldenburg"
"Univ Oldenburg HIFMB, Helmholtz Inst Funct Marine Biodivers, Oldenburg, Germany.","Carl von Ossietzky Univ Oldenburg"
"Carl von Ossietzky Univ Oldenburg, Inst Chem & Biol Marine Environm ICBM Terramare, Planktol Working Grp, AG Planktol, D-26382 Wilhelmshaven, Germany.","Carl von Ossietzky Univ Oldenburg - Institut für Chemie und Biologie des Meeres (ICBM)"
"Carl von Ossietzky Univ Oldenburg, Inst Chem & Biol Marine Environm ICBM, ICBM Wilhelmshaven, Schleusenstr 1, D-26382 Wilhelmshaven, Germany.","Carl von Ossietzky Univ Oldenburg - Institut für Chemie und Biologie des Meeres (ICBM)"
"Carl von Ossietzky Univ Oldenburg, Inst Chem &amp; Biol Marine Environm ICBM Terramare, Planktol Working Grp, AG Planktol, D-26382 Wilhelmshaven, Germany.","Carl von Ossietzky Univ Oldenburg - Institut für Chemie und Biologie des Meeres (ICBM)"
"Carl von Ossietzky Univ Oldenburg, Inst Biol & Environm Sci, Carl Ossietzky Str 9-11, D-26111 Oldenburg, Germany;","Carl von Ossietzky Univ Oldenburg - Institute of Biology & Environmental Sciences"
"Carl von Ossietzky Univ Oldenburg, Inst Biol & Environm Sci, Carl von Ossietzky Str 9-11, D-26111 Oldenburg, Germany;","Carl von Ossietzky Univ Oldenburg - Institute of Biology & Environmental Sciences"
"Carl von Ossietzky Univ Oldenburg, Res Grp Anim Biodivers & Evolutionary Biol, Inst Biol & Environm Sci, D-26129 Oldenburg, Germany;","Carl von Ossietzky Univ Oldenburg - Institute of Biology & Environmental Sciences - Research Group of Animal Biodiversity & Evolutionary Biology"
"Carl von Ossietzky Univ Oldenburg, Res Grp Anim Biodivers &amp; Evolutionary Biol, Inst Biol &amp; Environm Sci, D-26129 Oldenburg, Germany.","Carl von Ossietzky Univ Oldenburg - Institute of Biology and Environmental Sciences"
"Carl von Ossietzky Univ Oldenburg, Helmholtz Inst Funct Marine Biodivers, D-23129 Oldenburg, Germany.","Carl von Ossietzky University of Oldenburg"
"Carl von Ossietzky Univ Oldenburg, Res Grp Anim Biodivers & Evolutionary Biol, Inst Biol & Environm Sci, D-26129 Oldenburg, Germany.","Carl von Ossietzky University of Oldenburg"
"Carleton University","Carleton University"
"Carmel Coll Arts Sci & Commerce Women, Dept Zool, Nuvem 403713, Goa, India.","Carmel College of Arts, Science and Commerce for Women "
"Carnegie Mellon Univ","Carnegie Mellon University"
"Carnegie Mellon Univ, Dept Engn & Publ Policy, Pittsburgh, PA 15213 USA.","Carnegie Mellon University"
"Carnegie Mellon Univ, Dept Engn & Publ Policy, Pittsburgh, PA 15213 USA;","Carnegie Mellon University"
"Carnegie Mellon Univ, Dept Engn &amp; Publ Policy, Pittsburgh, PA 15213 USA.","Carnegie Mellon University - Department of Engineering and Public policy"
"UC Temuco, Nucleo Estudios Ambientales, Casilla 15-D, Temuco, Chile.","Catholic University of Temuco"
"Univ Catolica Norte, Dept Biol Marina, Millennium Nucleus Ecol & Sustainable Management, Larrondo 1281, Coquimbo, Chile.","Catholic University of the North"
"Univ Catolica Norte, Fac Ciencias Mar, Dept Biol Marina, Nucleo Milenio Ecol & Manejo Sustentable Isl Ocea, Coquimbo, Chile.","Catholic University of the North"
"Univ Catolica Norte, Nucleo Milenio Ecol & Manejo Sustentable Islas &, Larrondo 1281, Coquimbo, Chile.","Catholic University of the North"
"Catholic Univ Louvain","Catholique University of Louvain"
"Katholieke Universiteit Leuven","Catholique University of Louvain"
"kuleuven","Catholique University of Louvain"
"KU Leuven","Catholique University of Louvain"
"uclouvain","Catholique University of Louvain"
"UCLouvain","Catholique University of Louvain"
"Université catholique de Louvain","Catholique University of Louvain"
"Earth and Life Institute, Université catholique de Louvain","Catholique University of Louvain - Earth and Life Institute (ELI)"
"Laboratory of Marine Biology, Earth and Life Institute, Catholic University of Louvain (UCL)","Catholique University of Louvain - Earth and Life Institute (ELI)"
"Marine biology laboratory, Catholic University of Louvain","Catholique University of Louvain - Earth and Life Institute (ELI)"
"Marine Biology Laboratory, Earth and Life Institute, Catholic University of Louvain","Catholique University of Louvain - Earth and Life Institute (ELI)"
"Marine Biology Laboratory, Earth Life Institute, Université catholique de Louvain","Catholique University of Louvain - Earth and Life Institute (ELI)"
"Université catholique de Louvain (UcL) / ELI-e","Catholique University of Louvain - Earth and Life Institute (ELI)"
"Catholic Univ Louvain, Earth & Life Inst, Marine Biol Lab, B-1348 Louvain, Belgium","Catholique University of Louvain - Earth and Life Institute (ELI) - Laboratory of Marine Biology"
"Catholic Univ Louvain, Earth & Life Inst, Marine Biol Lab, Croix Sud 3,Box L7-06-04, B-1348 Louvain La Neuve, Belgium;","Catholique University of Louvain - Earth and Life Institute (ELI) - Marine Biology Laboratory"
"Catholic Univ Louvain, Earth Life Inst, Marine Biol Lab, Croix Sud 3,Box L7-06-04, B-1348 Louvain La Neuve, Belgium","Catholique University of Louvain - Earth and Life Institute (ELI) - Marine biology laboratory"
"iMMC - Institute of Mechanics, Materials and Civil Engineering, Université catholique de Louvain","Catholique University of Louvain - Institute of Mechanics, Materials, and Civil Engineering (iMMC)"
"KU Leuven, Laboratory of Biodiversity and Evolutionary Genomics","Catholique University of Louvain - Laboratory of Biodiversity and Evolutionary Genomics (LBEG)"
"KU Leuven: Laboratorium voor Biodiversiteit en Evolutionaire Genomica (KULeuven-LBEG)","Catholique University of Louvain - Laboratory of Biodiversity and Evolutionary Genomics (LBEG)"
"Laboratory of Biodiversity and Evolutionary Genomics, Department of Biology, University of Leuven","Catholique University of Louvain - Laboratory of Biodiversity and Evolutionary Genomics (LBEG)"
"KU Leuven - Departement of Electrical Engineering","Catholique University of Louvain - Departement of Electrical Engineering"
"KULeuven Department of Biology Ecology","Catholique University of Louvain - Departement of Biology Ecology"
"Cawthron Inst","Cawthron Institute"
"Cawthron Inst, Coastal & Freshwater Grp, Nelson, New Zealand.","Cawthron Institute"
"Cawthron Inst, Coastal &amp; Freshwater Grp, Nelson, New Zealand.","Cawthron Institute"
"Cawthron Inst, Private Bag 2, Nelson 7042, New Zealand;","Cawthron Institute"
"Cawthron Inst, Coastal & Freshwater Grp, Nelson, New Zealand;","Cawthron Institute - Coastal & Freshwater Group"
"Cawthron Institute","Cawthron Institute"
"CEDO Inc","CEDO Inc"
"CEDO Inc, Intercultural Ctr Study Deserts & Oceans, POB 44208, Tucson, AZ 85733 USA;","CEDO Inc"
"CEFAS","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Cefas, Lowestoft NR33 0HT, Suffolk, England;","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Cefas, Pakefield Rd, Lowestoft NR33 0HT, Suffolk, England;","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Cefas, Pakefield Rd, Lowestoft NR33 OHT, Suffolk, England;","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Centre for Environment, Fisheries & Aquaculture Science (CEFAS), Lowestoft","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Centre for Environment, Fisheries and Aquaculture Science (Cefas)","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Ctr Environm Fisheries & Aquaculture Sci","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Ctr Environm Fisheries & Aquaculture Sci Cefas","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Ctr Environm Fisheries & Aquaculture Sci CEFAS, Barrack Rd, Weymouth DT4 8UB, Dorset, England.","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Ctr Environm Fisheries & Aquaculture Sci Cefas, Barrack Rd, Weymouth DT4 8UB, Dorset, England;","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Ctr Environm Fisheries & Aquaculture Sci, Lowestoft NR33 0HT, Suffolk, England;","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Ctr Environm Fisheries & Aquaculture Sci, Lowestoft, Suffolk, England.","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Ctr Environm Fisheries &amp; Aquaculture Sci, Lowestoft NR33 0HT, Suffolk, England.","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Ctr Environm Fisheries &amp; Aquaculture Sci, Lowestoft, Suffolk, England.","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Cefas Technology Ltd","Cefas Technology Ltd"
"CEI MAR, Fac Ciencias Mar & Ambientales, Dept Biol, Av Republ Saharaui S-N,Ap 40, Puerto Real 11510, Cadiz, Spain.","CEI MAR Research Institute"
"Ctr Coastal Studies","Center for Coastal Studies"
"Ctr Phys Sci & Technol","Center for Physical Sciences and Technology (FTMC)"
"Ctr Phys Sci & Technol, LT-02300 Vilnius, Lithuania;","Center for Physical Sciences and Technology (FTMC)"
"CICESE, Biol Oceanog Dept, Mol Ecol Lab, Carretera Tijuana Ensenada Km 3918, Ensenada 22860, Baja California, Mexico.","Center for Scientific Research and Higher Education at Ensenada (CICESE)"
"CICESE, Div Oceanol, Carretera Ensenada Tijuana 3918, Ensenada 22860, Baja California, Mexico.","Center for Scientific Research and Higher Education at Ensenada (CICESE)"
